Month,Day,Before,Session,After,Deep Dive
Sept.,17,,,,
Sept.,24,Pre-Meeting Setup,Python: Application,,
Oct.,1,,Python: Fundamentals,,
Oct.,8,,"Python: Classes, Deep Learning Overview","[What is a Neural Network? 0h18](https://www.3blue1brown.com/lessons/neural-networks) , [Gradient descent 0h20](https://www.3blue1brown.com/lessons/gradient-descent) , [Analyzing our neural network](https://www.3blue1brown.com/lessons/neural-network-analysis)",
Oct.,15,"[What is backpropagation really doing? 0h12](https://www.3blue1brown.com/lessons/backpropagation) , [Backpropagation calculus 0h10](https://www.3blue1brown.com/lessons/backpropagation-calculus),   [Backpropagation 2h25](https://youtu.be/VMj-3S1tku0)",Discussion,,
Oct.,22,,,,
Oct.,29,[Bigram Language Model 1h57](https://youtu.be/PaCmpygFfXo),Discussion,,
Nov.,5,,,,
Nov.,12,[Multilayer Perceptron Language Model 1h15](https://youtu.be/TCH_1BHY58I),Discussion,,
Nov.,19,,Journal Club: BatchNorm,,[Activations + BatchNorm 1h55](https://youtu.be/P6sfmUTpUmc)
Nov.,26,,,,[Backpropagation Deep Dive 1h55](https://youtu.be/q8SA3rM6ckI)
Dec.,3,"[But what is a GTP 0h27](https://www.3blue1brown.com/lessons/gpt), [Visualizing Attention 0h26](https://www.3blue1brown.com/lessons/attention) , [Generatively Pretrained Transformer 1h56](https://www.youtube.com/watch?v=kCc8FmEb1nY)",Discussion,[How might LLMs store facts 0h22](https://www.3blue1brown.com/lessons/mlp),[WaveNet 0h56](https://youtu.be/t3YJ5hKiMQ0)
Dec.,10,,,,
Dec.,17,,,,
