Month,Day,Session,Deep Dive
Feb.,11,Discussing the schedule & environmental setup ,
Feb.,18,"Data preparation, Model API, Discuss tuning and experiment tracking ",
Feb.,25,Intro. models for language and regression tasks ,
Mar.,4,No Session (Maize Meeting),
Mar.,11,Discussion: Learning Projects Planning,
Mar.,18,,
Mar.,25,Implementing a transformer (1/2) ,"[But what is a GTP 0h27](https://www.3blue1brown.com/lessons/gpt), [Visualizing Attention 0h26](https://www.3blue1brown.com/lessons/attention) , [Generatively Pretrained Transformer 1h56](https://www.youtube.com/watch?v=kCc8FmEb1nY) , [How might LLMs store facts 0h22](https://www.3blue1brown.com/lessons/mlp)"
Mar.,30,,
Apr.,8,Implementing a transformer (2/2),
Apr.,15,,
Apr.,22,Presentation: Learning Project Results,
Apr.,29,,
